Category,Item Name,Serving Size(g),Energy(kJ),Energy(kCal),Protein(g),"Fat,Total(g)",Sat.Fat(g),Carb(g),Sugars(g),Dietary Fiber (g),Sodium (mg),Description
Vegetables,Spinach ,100,92,22,2.9,0.4,0.1,3.5,0.4,2.7,79,
Vegetables,Tomato (3 wheels) ,100,75.3,18,0.9,0.2,0,2.7,2.6,1.2,5,
Seasonings,Pepper ,100,1210,289,8.8,2.7,0.1,42.1,0.6,0,25,
Seasonings,Salt ,100,0,0,0,0,0,0,0,0,39100,
New,Chicken Caesar Subway 6-Inch® Sub,100,795,191,12.4,9.3,2.6,14,2,1,440,"rotisserie-style chicken, smoky bacon, poached egg, mozzarella cheese, lettuce, tomato, onion, caesar dressing on white bread"
New,Chicken Caesar Wrap (Regular),100,820,196,11.7,10.2,3.4,14,1.3,0.9,475,"rotisserie-style chicken, smoky bacon, poached egg, mozzarella cheese, lettuce, tomato, onion, caesar dressing on white flour wrap"
New,Chicken Pepperoni Subway 6-Inch® Sub,100,842,201,12.7,8.9,3,16.9,2.8,1.6,611,"rotisserie-style chicken, mozzarella cheese, spinach, tomato, onion, olive, marinara sauce, garlic aioli toasted on Italian herbs & cheese bread"
New,Deli Supreme Subway 6-Inch® Sub,100,899,214,12,10.6,3.7,16.8,2.3,2.2,565,"pepperoni, salami, leg ham, sliced turkey, cheddar cheese, lettuce, tomato, onion, mayonnaise on malted rye bread"
New,Philly-Style Three-Cheese Steak Subway 6-Inch® Sub,100,1030,246,14,11.7,4.7,19.8,2.8,1.6,673,"diced steak, cheddar cheese, old english style cheese, mozzarella cheese, capsicum, onion, jalapeno pepper, garlic aioli toasted on white bread"
New,Rotisserie-Style Chicken Subway 6-Inch® Sub,100,795,190,11.5,8.2,2.2,16.9,2.6,1.3,536,"old english style cheese, lettuce, tomato, cucumber, onion, chipotle southwest sauce, toasted on Italian herbs & cheese bread"
New,Ultimate Cheesy Garlic Bread Snack,100,1480,355,11.8,19.4,8.4,32.8,2.5,2,472,"white bread, garlic spread, mozzarella"
